Date,Price,Open,High,Low
"Aug 17, 2011",43.0,44.0,44.0,42.0
"Aug 18, 2011",41.0,42.0,42.0,41.0
"Aug 19, 2011",41.0,41.0,41.0,41.0
"Aug 22, 2011",40.0,41.0,41.0,40.0
"Aug 23, 2011",41.0,40.0,41.0,40.0
"Aug 24, 2011",41.0,41.0,41.0,40.0
"Aug 25, 2011",42.0,41.0,42.0,41.0
"Aug 26, 2011",41.0,41.0,42.0,41.0
"Aug 29, 2011",45.0,42.0,46.0,42.0
"Aug 30, 2011",45.0,44.0,45.0,44.0
"Aug 31, 2011",43.0,44.0,45.0,43.0
"Sep 01, 2011",43.0,43.0,44.0,43.0
"Sep 02, 2011",42.0,43.0,43.0,42.0
"Sep 05, 2011",43.0,42.0,43.0,41.0
"Sep 06, 2011",42.0,42.0,43.0,42.0
"Sep 08, 2011",42.0,42.0,43.0,42.0
"Sep 09, 2011",42.0,42.0,42.0,41.0
"Sep 12, 2011",41.0,41.0,42.0,41.0
"Sep 13, 2011",41.0,41.0,42.0,41.0
"Sep 14, 2011",41.0,41.0,42.0,41.0
"Sep 15, 2011",42.0,41.0,42.0,41.0
"Sep 16, 2011",41.0,42.0,42.0,41.0
"Sep 19, 2011",41.0,42.0,42.0,41.0
"Sep 20, 2011",41.0,42.0,42.0,41.0
"Sep 21, 2011",41.0,41.0,42.0,41.0
"Sep 22, 2011",40.0,41.0,41.0,39.0
"Sep 23, 2011",40.0,39.0,40.0,39.0
"Sep 26, 2011",39.0,40.0,40.0,39.0
"Sep 27, 2011",39.0,40.0,40.0,39.0
"Sep 28, 2011",39.0,40.0,40.0,39.0
"Sep 29, 2011",39.0,40.0,40.0,39.0
"Sep 30, 2011",39.0,39.0,40.0,39.0
"Oct 03, 2011",39.0,40.0,40.0,39.0
"Oct 04, 2011",39.0,39.0,40.0,39.0
"Oct 05, 2011",39.0,39.0,40.0,39.0
"Oct 06, 2011",39.0,39.0,40.0,39.0
"Oct 07, 2011",38.0,39.0,39.0,38.0
"Oct 10, 2011",39.0,39.0,39.0,39.0
"Oct 11, 2011",39.0,39.0,39.0,39.0
"Oct 13, 2011",39.0,40.0,40.0,39.0
"Oct 17, 2011",39.0,39.0,39.0,39.0
"Oct 18, 2011",39.0,39.0,39.0,39.0
