Date,Price,Open,High,Low
"Jun 20, 2013",23.0,21.5,23.0,21.5
"Jun 21, 2013",24.0,23.0,25.0,22.5
"Jun 24, 2013",22.5,23.0,23.5,22.0
"Jun 25, 2013",23.5,23.0,23.5,22.5
"Jun 26, 2013",25.0,23.5,25.5,23.5
"Jun 27, 2013",24.0,25.5,25.5,24.0
"Jun 28, 2013",25.0,24.0,25.0,23.5
"Jul 01, 2013",24.5,24.0,25.0,23.5
"Jul 02, 2013",22.5,24.0,24.5,21.5
"Jul 03, 2013",22.0,21.5,22.0,21.0
"Jul 04, 2013",22.0,21.5,22.0,21.0
"Jul 05, 2013",22.0,21.5,22.0,21.5
"Jul 08, 2013",22.0,22.0,22.5,22.0
"Jul 10, 2013",23.0,22.5,23.5,22.5
"Jul 11, 2013",23.0,22.5,23.5,22.0
"Jul 12, 2013",23.0,22.0,23.0,22.0
"Jul 15, 2013",23.0,23.0,23.0,23.0
"Jul 16, 2013",23.0,22.5,23.0,22.0
"Jul 17, 2013",23.5,23.0,23.5,22.5
"Jul 18, 2013",23.5,23.0,23.5,22.5
"Jul 19, 2013",23.5,22.0,23.5,22.0
"Jul 22, 2013",24.5,23.5,24.5,23.0
"Jul 23, 2013",24.5,24.5,25.0,23.5
"Jul 24, 2013",24.0,23.5,24.0,23.5
"Jul 25, 2013",23.5,24.0,24.5,23.5
"Jul 26, 2013",23.5,23.5,23.5,23.5
"Jul 29, 2013",23.0,24.0,24.0,23.0
"Jul 30, 2013",24.0,24.0,24.0,23.0
"Jul 31, 2013",24.5,24.0,25.0,23.5
"Aug 01, 2013",25.5,24.5,26.5,24.0
"Aug 02, 2013",25.5,26.5,27.5,25.0
"Aug 05, 2013",25.0,26.0,26.5,24.5
"Aug 06, 2013",25.0,24.5,25.0,24.0
"Aug 07, 2013",25.5,25.0,25.5,24.5
"Aug 08, 2013",25.0,25.5,25.5,24.5
"Aug 09, 2013",25.0,24.5,25.0,24.0
"Aug 12, 2013",25.5,24.5,26.0,24.5
"Aug 13, 2013",24.5,25.5,26.0,24.5
"Aug 14, 2013",24.5,24.5,25.0,24.0
"Aug 15, 2013",24.0,25.0,25.0,23.5
"Aug 16, 2013",23.0,23.5,24.0,23.0
"Aug 19, 2013",24.0,23.0,24.0,22.5
"Aug 20, 2013",23.5,23.5,24.0,23.0
"Aug 21, 2013",23.5,23.0,23.5,23.0
"Aug 22, 2013",24.0,24.0,24.5,23.5
"Aug 23, 2013",24.5,24.5,25.5,23.5
"Aug 26, 2013",25.5,24.5,26.0,24.0
"Aug 27, 2013",24.0,26.0,26.0,23.5
"Aug 28, 2013",24.5,24.5,24.5,23.5
"Aug 29, 2013",24.5,24.5,25.0,23.5
"Aug 30, 2013",24.5,24.5,25.0,23.5
"Sep 02, 2013",24.5,24.0,24.5,23.0
"Sep 03, 2013",25.5,25.0,25.5,24.5
"Sep 04, 2013",25.0,25.0,25.0,24.5
"Sep 05, 2013",25.0,24.5,25.0,24.0
"Sep 06, 2013",25.0,24.0,25.0,24.0
"Sep 09, 2013",24.5,24.0,25.0,24.0
"Sep 10, 2013",24.5,24.5,24.5,23.5
"Sep 11, 2013",24.0,24.0,24.5,24.0
"Sep 12, 2013",24.0,23.5,24.0,23.5
"Sep 13, 2013",24.0,24.0,24.0,23.5
"Sep 16, 2013",24.0,23.5,24.0,23.5
"Sep 17, 2013",24.0,23.5,24.0,23.5
"Sep 18, 2013",25.0,24.0,27.0,23.5
"Sep 19, 2013",25.0,26.0,26.0,25.0
"Sep 20, 2013",25.0,25.0,25.0,25.0
"Sep 23, 2013",25.0,25.0,26.0,25.0
"Sep 24, 2013",25.5,25.0,26.5,25.0
"Sep 25, 2013",27.0,25.0,27.5,25.0
"Sep 26, 2013",29.0,27.0,29.5,27.0
"Sep 27, 2013",31.5,29.0,34.0,28.5
